Row Labels,Sum of Amount spent (USD),Sum of Purchases
Static_testimonial-magicalive-app,18243.22,209
Static_testimonial-magicalive-app (Horizontal),9984.69,146
Carousel_generics-refreshed-okt-app-coq10-ptk,4796.95,90
Static_getpregnantwosex-app,6830.97,77
C101_SG_2205_MLP_Cov_Purchase-Retargeting-Only-APP&SPG_Retargeting_Static_teoh-price-tag-app,2866.36,71
Static_text-ivfiuicycles-app,3480.2,61
Static_nopressure-app,4752.46,54
Static_testimonial-menPOV-thankful-app-alter,2439.52,51
C015_SG_2201_APP_Cov_Purchase_Interest_Static_dec21-promo-shop,2015.41,38
Vid30_reaction-app(V),1547.59,34
Static_lightacandle-app,2637.97,31
C141_SG_2208_MLP_Cov_Purchase-Retargeting-Only_Retargeting_Vid06s_new-applicator-v1,812.59,28
Static_testimonial-youngcouples-app,1461.19,28
Vid30_softtip-app,1266.47,26
C118_SG_2206_MLP_Cov_Purchase-APP&SPG_Static_teoh-price-tag-app,1557.48,23
Static_performanceanxiety-app(shop),2684.16,22
Static_testimonial_intimacy_lifestyle-app,1522.91,22
Static_getpregnantwosex-lifestyle-wpdt-app-alter,1419.61,22
C101_SG_2205_MLP_Cov_Purchase-Retargeting-Only-APP&SPG_Retargeting_Static_nur-price-tag-app,855.17,21
Vid06s_soft-tip-chore-app,2576.89,21
Video_comparison-app,1718.21,20
Vid06s_soft-tip-app,2953.98,20
Static_affordablenoninvasive-app,1453.94,19
Static_testimonial-men'sPOV-thankful-app,1575.89,19
Static_testimonial-menPOV-thankful-app,886.75,18
Static_getpregnantwtsex-app,1160.59,17
Static_livewithparents-app,1348.34,17
Vid06_clock-app(shop),1662.21,17
Vid06_breakglass-app,1801.69,16
Static_calendar-app,1349.56,15
Vid30_softtip-app-alter,885.58,15
Vid30_babyandhome-affordable-app,774.35,13
C141_SG_2208_MLP_Cov_Purchase-Retargeting-Only_Retargeting_Static_teoh-price-tag-app,490,13
Static_testimonial_intimacy_withproduct-app,1250.93,13
C143_SG_2208_MLP_Cov_Purchase_Interest_Vid06s_soft-tip-app,728.02,13
Vid30_reaction-app(F),1101.31,12
Vid6_testimonial-painpoint-nopain-app,2238.76,11
Static_getpregnantwosex-lifestyle-wopdt-app,1085.61,11
